name,lat,lng,rating,opening_hours,direccion,ciudad,rubro
Restaurant El Pimentón,-33.045903,-71.624288,4.4,{'open_now': False},Av. Ecuador 27,"Valparaiso,Chile",restaurant
Maralegre,-33.040837,-71.63055,4.4,{'open_now': True},Calle Higuera 133 Cerro Alegre,"Valparaiso,Chile",restaurant
Café Vinilo,-33.043468,-71.628194,4.3,{'open_now': True},Almte. Montt 448,"Valparaiso,Chile",restaurant
Caleta Portales Restaurant,-33.032395,-71.591169,4.2,{'open_now': False},"Acceso A Caleta Portales, Juan de Saavedra 2171, local 1, Valparaíso","Valparaiso,Chile",restaurant
AYCA La Flora Hotel Boutique,-33.041968,-71.625499,5.0,,Subida Concepción 35,"Valparaiso,Chile",hotel
Bo Hotel & Terraza,-33.044233,-71.63022,5.0,,Almte. Montt 677,"Valparaiso,Chile",hotel
Casa Magnolia - Val Paradou,-33.041026,-71.630266,5.0,,"Higuera, Valparaíso, 2340000","Valparaiso,Chile",hotel
Somerscales Hotel Boutique,-33.043242,-71.630091,5.0,{'open_now': True},"San Enrique 446, Valparaíso, 2370832","Valparaiso,Chile",hotel
Voga Exclusive Guesthouse,-33.043469,-71.63054,4.8,,"Galos 435, Valparaíso, 2370830","Valparaiso,Chile",hotel
Augusta Apart Hotel,-33.043847,-71.629306,4.8,{'open_now': True},San Enrique 577,"Valparaiso,Chile",hotel
Casa Galos Hotel & Lofts,-33.043897,-71.630131,4.8,,"Templeman 893, Valparaíso, Cerro Alegre 2370951","Valparaiso,Chile",hotel
Casa Puente Hotel Boutique,-33.042775,-71.631146,4.7,{'open_now': True},San Agustín 552,"Valparaiso,Chile",hotel
Hotel Palacio Astoreca,-33.040733,-71.62898,4.6,{'open_now': False},"Montealegre, Cerro Alegre 149","Valparaiso,Chile",hotel
La Galería B&B,-33.041993,-71.628215,4.6,{'open_now': True},"Pasaje, Templeman","Valparaiso,Chile",hotel
Nomada Eco Hostel,-33.045082,-71.617683,4.5,{'open_now': True},Brasil 1822,"Valparaiso,Chile",hotel
Hotel Boutique 17,-33.041942,-71.626424,4.5,{'open_now': True},"Papudo 557, Valparaíso, 2372715","Valparaiso,Chile",hotel
WineBox Valparaiso,-33.050877,-71.618472,4.5,{'open_now': True},Baquedano 763,"Valparaiso,Chile",hotel
Fauna Hotel & Restaurante,-33.043694,-71.62721,4.4,{'open_now': True},P.º Dimalow 166,"Valparaiso,Chile",hotel
Verso Hotel,-33.053226,-71.621232,4.4,{'open_now': True},Mena 665,"Valparaiso,Chile",hotel
Hotel Brighton,-33.042648,-71.625267,4.3,{'open_now': True},"P.º Atkinson 151- 153, Valparaíso, 2340000","Valparaiso,Chile",hotel
Hotel Diego de Almagro Valparaiso Hotel,-33.04364,-71.62001,4.3,,"Molina 76, Valparaíso, 2362682","Valparaiso,Chile",hotel
Hotel Gervasoni,-33.041112,-71.626971,4.2,,"Paseo Gervasoni Nº1 - Cerro Concepción, Valparaíso 2340000","Valparaiso,Chile",hotel
ibis Valparaiso,-33.038275,-71.626403,4.1,,"Errázuriz 811, Valparaíso, 2340000","Valparaiso,Chile",hotel
Casa Vander hotel boutique,-33.043839,-71.626855,3.7,,P.º Dimalow 135,"Valparaiso,Chile",hotel
Casa Maroto,-32.921218,-71.517403,5.0,,"Maroto 635, Concón, 2510000",Concon,museo
Historical and Archaeological Museum of Concon,-32.920271,-71.516765,4.3,{'open_now': False},"Sta. Laura 470, Concón",Concon,museo
